,category,headline,authors,link,short_description,date
0,POLITICS,"Democrats, Republicans Take Advantage Of New Big-Money Rules",Paul Blumenthal,https://www.huffingtonpost.com/entry/mccutcheon-2014-super-joint-committee_n_6000500.html,,2014-10-17
1,CRIME,"WATCH: Truck Plows Into Stolen Car, Ends Reckless Joyride",Isaac Saul,https://www.huffingtonpost.com/entry/truck-plows-stolen-car-_n_5432614.html,,2014-06-02
2,POLITICS,On Patriotism,"Robert Reich, ContributorChancellor's Professor of Public Policy, University of Califor...",https://www.huffingtonpost.com/entry/on-patriotism_b_7727196.html,True patriotism isn't simply about waving the American flag. And it's not mostly about securing our borders from outsiders. It's about coming together for the common good.,2015-07-04
3,CRIME,Former WWF Wrestler Severely Beaten Outside California Home,David Lohr,https://www.huffingtonpost.com/entry/former-wwf-wrestler-severely-beaten-outside-california-home_us_5aff14c9e4b0a046186b5ce6,"""He's really lucky to be alive,"" a neighbor said.",2018-05-18
4,POLITICS,The End of the Commonwealth,"John Tirman, ContributorExecutive Director, MIT Center for International Studies",https://www.huffingtonpost.com/entry/the-end-of-the-commonwealth_us_5850703be4b0e411bfd42fd6,The worldview of Trump and those he’s bringing into government is one in which seeking private interest is paramount.,2016-12-13
5,POLITICS,Kellyanne Conway: 'I Was Stopped Many Times After 9/11' Though I Don't 'Resemble' Terrorists,Laura Bassett,https://www.huffingtonpost.com/entry/kellyanne-conway-airport-stop-immigration_us_588e1114e4b017637794f37f,"""It's a small price to pay,"" she said.",2017-01-29
6,CRIME,Her Husband Killed 49 People In Orlando. Now She's On Trial For Terrorism.,Melissa Jeltsen,https://www.huffingtonpost.com/entry/noor-salman-trial-pulse-shooting_us_5aa02900e4b002df2c6031cd,"Noor Salman is accused of aiding and abetting her husband. Her lawyers say she’s innocent, and is herself another victim of Omar Mateen.",2018-03-12
7,CRIME,Girl Reports Escaping Kidnapper By Jumping From Truck Onto Highway,Nina Golgowski,https://www.huffingtonpost.com/entry/california-girl-escapes-kidnapping_us_58e53826e4b0917d347688aa,The 13-year-old told deputies that she had been sexually assaulted and injected with meth after being offered a ride.,2017-04-05
8,CRIME,"Dallas Killer Wrote Cryptic Messages In His Own Blood At Site Of Standoff, Police Say",Lydia O'Connor,https://www.huffingtonpost.com/entry/dallas-shooting-blood-messages_us_578278bbe4b0344d514fc0a7,"He left the letters ""RB"" in the building where police killed him.",2016-07-10
9,POLITICS,The Teachers Who Educate Our Youngest Kids Are Struggling To Make Ends Meet,Rebecca Klein,https://www.huffingtonpost.com/entry/preschool-teacher-pay_us_5662048ae4b072e9d1c6364f,Most voters agree that we need to pay preschool teachers more.,2015-12-07
10,CRIME,2-Year-Old Killed In Chicago Shooting Streamed On Facebook Live,Carla Herreria,https://www.huffingtonpost.com/entry/valentines-day-chicago-shooting-facebook-live_us_58a4d871e4b045cd34be71de,"In four days, three children in Chicago have died because of shootings.",2017-02-16
