S.no,category,headline,authors,link,short_description,date,text,processed_text,text_length
7384,POLITICS,This Is How Much Time Students Actually Spend Taking Standardized Tests,"JENNIFER C. KERR AND JOSH LEDERMAN, AP",https://www.huffingtonpost.com/entry/standardized-testing-time_us_562e3953e4b0443bb56475b8,Testing amounts to about 2.3 percent of classroom time for the average eighth-grader in public school.,2015-10-26,This Is How Much Time Students Actually Spend Taking Standardized Tests Testing amounts to about 2.3 percent of classroom time for the average eighth-grader in public school.,much time student actually spend taking standardized test testing amount percent classroom time average public school,117
1089,POLITICS,Gun Advocate Wants Bars To Serve Less Booze So Everyone Can Pack Heat,Liz Adetiba,https://www.huffingtonpost.com/entry/larry-pratt-guns-in-bars_us_57683f74e4b0853f8bf1bac7,Obviously.,2016-06-20,Gun Advocate Wants Bars To Serve Less Booze So Everyone Can Pack Heat Obviously.,gun advocate want bar serve le booze everyone pack heat obviously,65
4548,POLITICS,Mitt Romney Tweets He's Not Donald Trump's Secretary Of State Pick,Peter Andrew Hart,https://www.huffingtonpost.com/entry/mitt-romney-trump-secretary-state_us_584f63cee4b04c8e2bb186f4,Trump is expected to name Exxon Mobil's Rex Tillerson on Tuesday morning.,2016-12-13,Mitt Romney Tweets He's Not Donald Trump's Secretary Of State Pick Trump is expected to name Exxon Mobil's Rex Tillerson on Tuesday morning.,mitt romney tweet donald trump secretary state pick trump expected name exxon mobil rex tillerson tuesday morning,113
7551,POLITICS,Being Donald Trump Means Never Having To Say You're Sorry,Dave Jamieson,https://www.huffingtonpost.com/entry/being-donald-trump-means-never-having-to-say-youre-sorry_us_57b75ddae4b0b51733a376ef,"Here's a riddle: If you don't say what you're apologizing for, is it actually an apology?",2016-08-20,"Being Donald Trump Means Never Having To Say You're Sorry Here's a riddle: If you don't say what you're apologizing for, is it actually an apology?",donald trump mean never say sorry riddle say apologizing actually apology,73
5887,CRIME,Man Allegedly Threatens To Cut Throat Of Off-Duty Muslim NYPD Cop,Ron Dicker,https://www.huffingtonpost.com/entry/off-duty-muslim-nypd-cop-threatened_us_58454edbe4b09e21702f7e8f,"""Go back to your country,"" suspect told Aml Elsokary after shoving her son, cops say.",2016-12-05,"Man Allegedly Threatens To Cut Throat Of Off-Duty Muslim NYPD Cop ""Go back to your country,"" suspect told Aml Elsokary after shoving her son, cops say.",man allegedly threatens cut throat muslim nypd cop go back country suspect told aml elsokary shoving son cop say,112
1982,POLITICS,Defense Secretary Ash Carter Suspends National Guard Bonus Collections,Matt Fuller,https://www.huffingtonpost.com/entry/carter-suspend-bonus-payment-collections_us_5810bfdfe4b001e247df7e17,Some debts may be forgiven. Others won't.,2016-10-26,Defense Secretary Ash Carter Suspends National Guard Bonus Collections Some debts may be forgiven. Others won't.,defense secretary ash carter suspends national guard bonus collection debt may forgiven others wo,97
7295,POLITICS,The Issue Again Won't Be Loretta Lynch But President Obama,"Earl Ofari Hutchinson, ContributorAuthor and political analyst",https://www.huffingtonpost.com/entry/the-issue-again-wont-be-l_b_6125080.html,"The GOP's dogged vow to hamstring Obama with the tag of a go-it-his-way president and further straightjacket his presidency poses the real likelihood that Lynch could be on the GOP's hot seat. If so, the issue again will not be Lynch, but Obama.",2014-11-08,"The Issue Again Won't Be Loretta Lynch But President Obama The GOP's dogged vow to hamstring Obama with the tag of a go-it-his-way president and further straightjacket his presidency poses the real likelihood that Lynch could be on the GOP's hot seat. If so, the issue again will not be Lynch, but Obama.",issue wo loretta lynch president obama gop dogged vow hamstring obama tag president straightjacket presidency pose real likelihood lynch could gop hot seat issue lynch obama,173
5732,POLITICS,Civil Rights Group Threatens Texas If It Doesn't Protect Voting Rights Of Hurricane Victims,Sam Levine,https://www.huffingtonpost.com/entry/texas-harvey-voting-rights_us_59e0cbcae4b04d1d51813ed2,They say there's no excuse for denying voting accommodations to people displaced by the storm.,2017-10-13,Civil Rights Group Threatens Texas If It Doesn't Protect Voting Rights Of Hurricane Victims They say there's no excuse for denying voting accommodations to people displaced by the storm.,civil right group threatens texas protect voting right hurricane victim say excuse denying voting accommodation people displaced storm,134
1446,CRIME,"Catalina Clouser, Pot-Smoking Mother, Drives Off With Baby On Roof","Reuters, Reuters",https://www.huffingtonpost.com/entry/catalina-clouser-pot-baby-roof-car_us_5ba2b3ebe4b0c2784da4abaa,"The mother Catalina Clouser, 19, was booked into jail on child abuse and aggravated assault charges, he said. The infant",2012-06-03,"Catalina Clouser, Pot-Smoking Mother, Drives Off With Baby On Roof The mother Catalina Clouser, 19, was booked into jail on child abuse and aggravated assault charges, he said. The infant",catalina clouser mother drive baby roof mother catalina clouser booked jail child abuse aggravated assault charge said infant,125
460,POLITICS,Mitt Romney Warns Of 'Demagogues On The Right' In Commencement Speech,Robert Baldwin III,https://www.huffingtonpost.com/entry/mitt-romney-commencement-address_us_5730dad2e4b0bc9cb047987e,This isn't the first time the 2012 GOP nominee has issued this warning in the last week.,2016-05-09,Mitt Romney Warns Of 'Demagogues On The Right' In Commencement Speech This isn't the first time the 2012 GOP nominee has issued this warning in the last week.,mitt romney warns right commencement speech first time gop nominee issued warning last week,91
7251,POLITICS,Stormy Daniels Cooperating With Federal Investigation Of Trump's Lawyer,Sarah Ruiz-Grossman,https://www.huffingtonpost.com/entry/stormy-daniels-cooperating-federal-investigatio-michael-cohen-trump-lawyer_us_5acd423ce4b0259339de621c,"“My client and I will fully cooperate with any search for the truth,” Daniels’ lawyer tweeted.",2018-04-10,"Stormy Daniels Cooperating With Federal Investigation Of Trump's Lawyer “My client and I will fully cooperate with any search for the truth,” Daniels’ lawyer tweeted.",stormy daniel cooperating federal investigation trump lawyer client fully cooperate search truth daniel lawyer tweeted,118
2853,POLITICS,This Quirky Congressional Rule Change Could Slash Entitlement Spending,Matt Fuller,https://www.huffingtonpost.com/entry/congressional-rule-entitlement-spending_us_571012c0e4b0060ccda2c77d,Conservatives on Capitol Hill want to make it easier to cut mandatory programs.,2016-04-14,This Quirky Congressional Rule Change Could Slash Entitlement Spending Conservatives on Capitol Hill want to make it easier to cut mandatory programs.,quirky congressional rule change could slash entitlement spending conservative capitol hill want make easier cut mandatory program,130
4472,POLITICS,Kaepernick's Problem: He Hasn't Said Enough,"Harry Edwards, ContributorProfessor Emeritus of Sociology, University of California at B...",https://www.huffingtonpost.com/entry/kaepernicks-problem-he-hasnt-said-enough_us_57c5cff0e4b09cd22d930e9d,"No one has the moral, much less the political standing, to preach to Black people about any obligation to “honor our soldiers.”",2016-08-30,"Kaepernick's Problem: He Hasn't Said Enough No one has the moral, much less the political standing, to preach to Black people about any obligation to “honor our soldiers.”",kaepernick problem said enough one moral much le political standing preach black people obligation honor soldier,112
6779,POLITICS,Supreme Court Deals Blow To Puerto Rican Government -- And Gives Hope To Puerto Rico,Cristian Farias,https://www.huffingtonpost.com/entry/supreme-court-puerto-rico_us_57597cc5e4b00f97fba768e2,"The commonwealth is ""sovereign,"" sure, but still highly dependent on Congress.",2016-06-09,"Supreme Court Deals Blow To Puerto Rican Government -- And Gives Hope To Puerto Rico The commonwealth is ""sovereign,"" sure, but still highly dependent on Congress.",supreme court deal blow puerto rican government give hope puerto rico commonwealth sovereign sure still highly dependent congress,129
5272,POLITICS,Oregon GOP Official Wants Private Militias To Protect Republicans,Ed Mazza,https://www.huffingtonpost.com/entry/oregan-rebublican-militia_us_592cf421e4b0065b20b7d9d4,"Some of the militias under consideration are recognized as ""extreme antigovernment groups.""",2017-05-30,"Oregon GOP Official Wants Private Militias To Protect Republicans Some of the militias under consideration are recognized as ""extreme antigovernment groups.""",oregon gop official want private militia protect republican militia consideration recognized extreme antigovernment group,121
5034,POLITICS,Should General Dempsey Resign?,"David Wood, ContributorSenior Military Correspondent, The Huffington Post",https://www.huffingtonpost.com/entry/should-general-dempsey-resign_b_6201256.html,"If Dempsey, a soldier with a long and distinguished career, cannot in good conscience preside over a military campaign he feels will be ultimately doomed, should he quietly (or noisily) resign?",2014-11-22,"Should General Dempsey Resign? If Dempsey, a soldier with a long and distinguished career, cannot in good conscience preside over a military campaign he feels will be ultimately doomed, should he quietly (or noisily) resign?",general dempsey resign dempsey soldier long distinguished career good conscience preside military campaign feel ultimately doomed quietly noisily resign,152
6482,POLITICS,The Growing Problem Of Money In Politics Requires A Third Party Solution,"Brian Jones, ContributorExecutive Director of the Justice Party",https://www.huffingtonpost.com/entry/the-growing-problem-of-money-in-politics-requires-a_us_59946a51e4b0afd94eb3f68e,And it doesn't have to mean electoral disaster.,2017-08-16,The Growing Problem Of Money In Politics Requires A Third Party Solution And it doesn't have to mean electoral disaster.,growing problem money politics requires third party solution mean electoral disaster,84
6313,POLITICS,"'ISIS Truther' Donald Trump Is Like A Lawyer's Dumbest Client Ever, Trevor Noah Says",Ron Dicker,https://www.huffingtonpost.com/entry/isis-truther-donald-trump-is-like-a-lawyers-dumbest-client-ever-trevor-noah-says_us_57adb60be4b069e7e504b31f,He just doesn't get it.,2016-08-12,"'ISIS Truther' Donald Trump Is Like A Lawyer's Dumbest Client Ever, Trevor Noah Says He just doesn't get it.",truther donald trump like lawyer dumbest client ever trevor noah say get,72
5188,CRIME,Santa Claus Shot With Pellet Gun At Toy Giveaway In D.C. (VIDEO),,https://www.huffingtonpost.com/entry/santa-shot-pellet-gun-toy-givaway_us_5ba2bbfce4b0c2784da5390e,Police told ABC7 they are still investigating and believe the shots came from a second story window in a nearby building,2013-12-24,Santa Claus Shot With Pellet Gun At Toy Giveaway In D.C. (VIDEO) Police told ABC7 they are still investigating and believe the shots came from a second story window in a nearby building,santa claus shot pellet gun toy giveaway video police told still investigating believe shot came second story window nearby building,132
1150,POLITICS,House Speaker Paul Ryan Vows To Complete Tax Reform By The End Of The Year,"By David Morgan, Reuters",https://www.huffingtonpost.com/entry/paul-ryan-tax-reform-promise_us_5948c1f1e4b07499199e2185,"“We are going to get this done in 2017. We need to get this done in 2017. We cannot let this once-in-a-generation moment slip.""",2017-06-20,"House Speaker Paul Ryan Vows To Complete Tax Reform By The End Of The Year “We are going to get this done in 2017. We need to get this done in 2017. We cannot let this once-in-a-generation moment slip.""",house speaker paul ryan vow complete tax reform end year going get done need get done let moment slip,101
6033,CRIME,Judge Denies Gag Order In Rape Trial Of Hannah Graham Suspect,,https://www.huffingtonpost.com/entry/hannah-graham-suspect-rape-case-jesse-matthew_n_6446840.html,,2015-01-10,Judge Denies Gag Order In Rape Trial Of Hannah Graham Suspect ,judge denies gag order rape trial hannah graham suspect,55
1163,CRIME,St. Louis Riot Police Break Up Protest Over Acquittal Of Former Cop,"By Valerie Volcovici and Kenny Bahr, Reuters",https://www.huffingtonpost.com/entry/st-louis-riot-police-protest_us_59bf5a20e4b02da0e1430c82,"Demonstrators broke windows and attempted to block a ramp to an interstate highway, police and witnesses said.",2017-09-18,"St. Louis Riot Police Break Up Protest Over Acquittal Of Former Cop Demonstrators broke windows and attempted to block a ramp to an interstate highway, police and witnesses said.",louis riot police break protest acquittal former cop demonstrator broke window attempted block ramp interstate highway police witness said,138
2834,CRIME,"Wisconsin Shooting: 7 People Killed At Sikh Temple, Including Shooter (LIVE UPDATES)","Reuters, Reuters",https://www.huffingtonpost.com/entry/wisconsin-shooting-sikh-temple_us_5ba2a132e4b0c2784da3a55e,The Indian embassy in Washington said it was in touch with the National Security Council about the shooting and an Indian,2012-08-05,"Wisconsin Shooting: 7 People Killed At Sikh Temple, Including Shooter (LIVE UPDATES) The Indian embassy in Washington said it was in touch with the National Security Council about the shooting and an Indian",wisconsin shooting people killed sikh temple including shooter live update indian embassy washington said touch national security council shooting indian,153
5984,CRIME,Nobody Knows Exactly How Many People Are Getting Killed With Assault-Style Rifles,Nick Wing,https://www.huffingtonpost.com/entry/assault-rifle-deaths-ar-15_us_5a96de5ae4b0e6a52304248a,"These deaths appear to make up a small proportion of overall gun homicides, but exactly how small is anybody's guess.",2018-03-02,"Nobody Knows Exactly How Many People Are Getting Killed With Assault-Style Rifles These deaths appear to make up a small proportion of overall gun homicides, but exactly how small is anybody's guess.",nobody know exactly many people getting killed rifle death appear make small proportion overall gun homicide exactly small anybody guess,136
2886,POLITICS,Here’s Why Trump Can Call Kaepernick An SOB,"Earl Ofari Hutchinson, ContributorEarl Ofari Hutchinson is an author and political analyst",https://www.huffingtonpost.com/entry/heres-why-trump-can-call-kaepernick-an-sob_us_59c6c73ce4b0f2df5e83aec8,"Trump is holding Kap captive to the NFL’s rigid, unbending and unyielding arrogance of power.",2017-09-23,"Here’s Why Trump Can Call Kaepernick An SOB Trump is holding Kap captive to the NFL’s rigid, unbending and unyielding arrogance of power.",trump call kaepernick sob trump holding kap captive nfl rigid unbending unyielding arrogance power,98
654,POLITICS,New Polls Confirm Hillary Clinton's Decisive Lead Over Donald Trump,Samantha Neal and Ariel Edwards-Levy,https://www.huffingtonpost.com/entry/hillary-clinton-leads-donald-trump-in-new-national-polls_us_576953a2e4b0a75709b7c79d,Surveys give her an average 7-point lead.,2016-06-21,New Polls Confirm Hillary Clinton's Decisive Lead Over Donald Trump Surveys give her an average 7-point lead.,new poll confirm hillary clinton decisive lead donald trump survey give average lead,84
865,POLITICS,Craft Beer Stars In New White House Trade Deal Push,Daniel Marans,https://www.huffingtonpost.com/entry/trade-deal-craft-beer_us_5616d1bce4b0dbb8000db936,"Cool tariff reductions, bro.",2015-10-08,"Craft Beer Stars In New White House Trade Deal Push Cool tariff reductions, bro.",craft beer star new white house trade deal push cool tariff reduction bro,73
1739,POLITICS,Unpacking The Partisan Spin On Benghazi,"Eugene Kiely, FactCheck.org",https://www.huffingtonpost.com/entry/benghazi-partisan_us_5628edc6e4b0ec0a389356f1,The Republican chairman and ranking Democrat on the House Benghazi committee each distorted the facts during TV appearances to discuss the committee’s work.,2015-10-22,Unpacking The Partisan Spin On Benghazi The Republican chairman and ranking Democrat on the House Benghazi committee each distorted the facts during TV appearances to discuss the committee’s work.,unpacking partisan spin benghazi republican chairman ranking democrat house benghazi committee distorted fact tv appearance discus committee work,145
